article_id,repository_article_id,source_file,source_sha256,v3_file,v3_sha256,repository_version,repository_path,languages,url_map_rows,source_rows,forbidden_hits,related_links_each_locale,ja_body_chars_before,ja_body_chars_after,ko_body_chars_before,ko_body_chars_after,status
AB50_001_Vehicle_GAC_AION_Y_Plus,AB50_001_Vehicle_GAC_AION_Y_Plus,AB50_001_Vehicle_GAC_AION_Y_Plus_FINAL.docx,96828fe89f4480040f962ac8367730e6c5b298990000f5cb082c4c3a6f5712c3,AB50_001_Vehicle_GAC_AION_Y_Plus_v3_FINAL.docx,8fff9716de1106ab10032644a99e0386699d3acdb18d61a93e7922a73f99e40d,v3,batches/batch_20260901_001/articles/AB50_001_Vehicle_GAC_AION_Y_Plus/versions/v3.md,12,12,2,[],2,1030,1667,1216,1974,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_003_Vehicle_2026_GMC_Sierra_1500,AB50_003_Vehicle_2026_GMC_Sierra_1500,AB50_003_Vehicle_2026_GMC_Sierra_1500_FINAL.docx,65a9ed44513c73de19a815f36c385c5d9bcb1e5ab6f0e00fca8dcbfa2903f9d6,AB50_003_Vehicle_2026_GMC_Sierra_1500_v3_FINAL.docx,87d2b9eb4b7a77a2c7a5a2394513c087ff8101c12657c822a575514bd1d11907,v3,batches/batch_20260901_001/articles/AB50_003_Vehicle_2026_GMC_Sierra_1500/versions/v3.md,12,12,1,[],2,1036,1657,1222,1955,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_004_Vehicle_2026_Kia_Sorento,AB50_004_Vehicle_2026_Kia_Sorento,AB50_004_Vehicle_2026_Kia_Sorento_FINAL.docx,ee7c14757cae65d411f52245bb55ff4c12726536bc1a2d900adf6217c276b8d4,AB50_004_Vehicle_2026_Kia_Sorento_v3_FINAL.docx,f054dcac73e6d9f2c8f4052208eb17004389940205bdbe1797ac957bafa81ff0,v3,batches/batch_20260901_001/articles/AB50_004_Vehicle_2026_Kia_Sorento/versions/v3.md,12,12,3,[],2,1048,1666,1234,1972,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_007_Vehicle_2026_Lexus_NX,AB50_007_Vehicle_2026_Lexus_NX,AB50_007_Vehicle_2026_Lexus_NX_FINAL.docx,6ee6162cfb05187bb73cafebe70541b3e2844a599eb84fc876c4fcfeb019884c,AB50_007_Vehicle_2026_Lexus_NX_v3_FINAL.docx,630032f8b70a6ba32548388e1fec6a5df8c6ecacefcc86fa3fc9a84592f1108e,v3,batches/batch_20260901_001/articles/AB50_007_Vehicle_2026_Lexus_NX/versions/v3.md,12,12,2,[],2,982,1621,1168,1925,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_010_Vehicle_2026_Mazda_CX_5,AB50_010_Vehicle_2026_Mazda_CX_5,AB50_010_Vehicle_2026_Mazda_CX_5_FINAL.docx,bc5c3536d8298b01a104a4191aaa184d81e992170019fb29568a383c87bef076,AB50_010_Vehicle_2026_Mazda_CX_5_v3_FINAL.docx,8e87bb44746a7e1f81a3724930b0738ae6605d00687092562347b10718b625f1,v3,batches/batch_20260901_001/articles/AB50_010_Vehicle_2026_Mazda_CX_5/versions/v3.md,12,12,2,[],2,1001,1626,1187,1940,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_011_Vehicle_2026_Mercedes_Benz_C_Class,AB50_011_Vehicle_2026_Mercedes_Benz_C_Class,AB50_011_Vehicle_2026_Mercedes_Benz_C_Class_FINAL.docx,f70150ca7aa6ac737e092df46090bd0ad768a4ae293d0e6cb06793b736cc0dcc,AB50_011_Vehicle_2026_Mercedes_Benz_C_Class_v3_FINAL.docx,4b8885b9029013ebd8565d8e2630e2f6bfe64f47e4abaf251d9edb04df7cc4b7,v3,batches/batch_20260901_001/articles/AB50_011_Vehicle_2026_Mercedes_Benz_C_Class/versions/v3.md,12,12,2,[],2,1051,1687,1237,1987,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_014_Vehicle_MG_ZS,AB50_014_Vehicle_MG_ZS,AB50_014_Vehicle_MG_ZS_FINAL.docx,551ee4a78557c2f3e030d5a415d99b6ffb9c8ab5266865074a87a4dd5adcb823,AB50_014_Vehicle_MG_ZS_v3_FINAL.docx,218a5f85da5d0624fcbdc133502d474365a3355065a2d6fbe7bc9dd11a96c435,v3,batches/batch_20260901_001/articles/AB50_014_Vehicle_MG_ZS/versions/v3.md,12,12,2,[],2,970,1592,1156,1901,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_016_Vehicle_Nissan_Qashqai,AB50_016_Vehicle_Nissan_Qashqai,AB50_016_Vehicle_Nissan_Qashqai_FINAL.docx,29c03883435da2c1a1b2bb4022b28b4dab2fcf684d0a337d6bbc08754e101f11,AB50_016_Vehicle_Nissan_Qashqai_v3_FINAL.docx,58a0aba7aabb021adc925e83c844c23f514804d1afd7f5e20e9bf3801238a6da,v3,batches/batch_20260901_001/articles/AB50_016_Vehicle_Nissan_Qashqai/versions/v3.md,12,12,2,[],2,1044,1691,1230,1995,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_020_Vehicle_Peugeot_3008_E_3008,AB50_020_Vehicle_Peugeot_3008_E_3008,AB50_020_Vehicle_Peugeot_3008_E_3008_FINAL.docx,2523810d7c7c2fe795ec8e02f26f6565cc571de24471b0047e64301a8013a04c,AB50_020_Vehicle_Peugeot_3008_E_3008_v3_FINAL.docx,4ace2cb734075cc1278948579eaf9b839917e5d0e900c3aafe44c60b56d3787d,v3,batches/batch_20260901_001/articles/AB50_020_Vehicle_Peugeot_3008_E_3008/versions/v3.md,12,12,1,[],2,1054,1696,1242,2006,PASS_STRUCTURAL_CONTENT_BOUNDARY
AB50_024_Guide_battery_warranty_southeast_asia,AB50_024_Guide_battery_warranty_southeast_asia,AB50_024_Guide_battery_warranty_southeast_asia_FINAL.docx,b406dd8ef8242c0a88a3c0750721735166500212fff62c81649696727032795a,AB50_024_Guide_battery_warranty_southeast_asia_v3_FINAL.docx,09b85f99ffec2f8cd4085514cef42ff61c13d0d72c9e3bfcb16bb54ec87466ab,v3,batches/batch_20260901_001/articles/AB50_024_Guide_battery_warranty_southeast_asia/versions/v3.md,12,12,4,[],2,869,1517,1030,1812,PASS_STRUCTURAL_CONTENT_BOUNDARY
